City,State,EV_Count,temperature,humidity,Electric Range
Atlanta,GA,1,16.6238047,70.72514529,0
Boston,MA,2,10.62932009,77.29799129,16
Chicago,IL,1,10.20046978,74.05928889,32
Dallas,TX,1,19.22577974,64.25512121,0
Denver,CO,1,9.689445739,52.84865092,0
Houston,TX,1,21.05408442,74.01913685,289
Jacksonville,FL,4,21.18346476,76.38684728,5.25
Las Vegas,NV,3,19.27490881,31.62504143,6.333333333
Los Angeles,CA,5,17.6958278,62.68684949,3.8
Minneapolis,MN,1,7.544807668,71.24418271,220
Nashville,TN,1,15.41640336,68.18065101,0
New York,NY,2,12.24311009,66.3636665,0
Philadelphia,PA,1,12.22366894,67.9124257,25
Phoenix,AZ,2,22.34275848,37.13965925,37.5
Pittsburgh,PA,2,10.90356283,70.26521999,146.5
Portland,OR,3,11.84286482,74.67160188,4.666666667
Saint Louis,MO,1,13.52593579,70.5597419,0
San Antonio,TX,5,20.63554671,67.56449296,5
San Diego,CA,16,17.06507322,67.75071266,45.875
San Francisco,CA,1,15.24937023,75.88263762,291
Seattle,WA,38046,11.26035882,77.09181712,47.85244619
Vancouver,WA,8740,10.78503038,81.94236846,44.79282277
